,name,M/F,n,year
741,Helen,F,34251,1917
742,Dorothy,F,28851,1917
743,Margaret,F,25560,1917
744,Ruth,F,23568,1917
745,Mildred,F,16257,1917
746,Anna,F,15160,1917
747,Elizabeth,F,15131,1917
748,Frances,F,14363,1917
749,Virginia,F,14261,1917
750,John,M,51853,1917
751,William,M,42422,1917
752,James,M,37339,1917
753,Robert,M,35220,1917
754,Joseph,M,24762,1917
755,George,M,24196,1917
756,Charles,M,24143,1917
757,Edward,M,17502,1917
758,Frank,M,15769,1917
759,Thomas,M,12611,1917
760,Mary,F,67366,1918
761,Helen,F,36148,1918
762,Dorothy,F,32032,1918
763,Margaret,F,27139,1918
764,Ruth,F,25534,1918
765,Mildred,F,17258,1918
766,Virginia,F,16421,1918
767,Frances,F,16131,1918
768,Elizabeth,F,15853,1918
769,Anna,F,15666,1918
770,John,M,56558,1918
771,William,M,45290,1918
772,James,M,42118,1918
773,Robert,M,40620,1918
774,Charles,M,26922,1918
775,George,M,26318,1918
776,Joseph,M,26263,1918
777,Edward,M,19489,1918
778,Frank,M,17017,1918
779,Thomas,M,13910,1918
780,Mary,F,65838,1919
781,Helen,F,33706,1919
782,Dorothy,F,31734,1919
783,Margaret,F,26237,1919
784,Ruth,F,24565,1919
785,Mildred,F,17300,1919
786,Virginia,F,15636,1919
787,Elizabeth,F,15287,1919
788,Frances,F,15107,1919
789,Anna,F,14498,1919
790,John,M,53528,1919
791,William,M,43971,1919
792,James,M,42390,1919
793,Robert,M,41027,1919
794,Charles,M,25192,1919
795,George,M,25172,1919
796,Joseph,M,24264,1919
797,Edward,M,18535,1919
798,Frank,M,15702,1919
799,Thomas,M,13434,1919
800,Mary,F,70982,1920
801,Dorothy,F,36643,1920
802,Helen,F,35097,1920
803,Margaret,F,27996,1920
804,Ruth,F,26102,1920
805,Mildred,F,18059,1920
806,Virginia,F,17314,1920
807,Elizabeth,F,15910,1920
808,Frances,F,15883,1920
809,Anna,F,14581,1920
810,John,M,56913,1920
811,William,M,50149,1920
812,Robert,M,48676,1920
813,James,M,47912,1920
814,Charles,M,28308,1920
815,George,M,26892,1920
816,Joseph,M,25591,1920
817,Edward,M,20095,1920
818,Frank,M,16430,1920
819,Richard,M,15010,1920
820,Mary,F,73985,1921
821,Dorothy,F,39087,1921
822,Helen,F,34822,1921
823,Margaret,F,28467,1921
824,Ruth,F,25784,1921
825,Virginia,F,19033,1921
826,Mildred,F,17881,1921
827,Betty,F,17638,1921
828,Frances,F,15993,1921
829,Elizabeth,F,15800,1921
830,John,M,58217,1921
831,Robert,M,52784,1921
832,William,M,51860,1921
833,James,M,49748,1921
834,Charles,M,29244,1921
835,George,M,27476,1921
836,Joseph,M,26179,1921
837,Edward,M,20818,1921
838,Frank,M,16708,1921
839,Richard,M,16376,1921
840,Mary,F,72173,1922
841,Dorothy,F,37716,1922
842,Helen,F,32508,1922
843,Margaret,F,26865,1922
844,Ruth,F,23630,1922
845,Betty,F,20895,1922
846,Virginia,F,19146,1922
847,Mildred,F,16412,1922
848,Elizabeth,F,15242,1922
849,Frances,F,15053,1922
850,John,M,57277,1922
851,Robert,M,53793,1922
852,William,M,51116,1922
853,James,M,49801,1922
854,Charles,M,28842,1922
855,George,M,27351,1922
856,Joseph,M,25699,1922
857,Edward,M,20419,1922
858,Richard,M,17539,1922
859,Frank,M,16014,1922
860,Mary,F,71638,1923
861,Dorothy,F,39044,1923
862,Helen,F,31488,1923
863,Margaret,F,26133,1923
864,Betty,F,25991,1923
865,Ruth,F,23638,1923
866,Virginia,F,18326,1923
867,Mildred,F,15990,1923
868,Elizabeth,F,15461,1923
869,Frances,F,14879,1923
870,John,M,57470,1923
871,Robert,M,56117,1923
872,William,M,52136,1923
873,James,M,50463,1923
874,Charles,M,28962,1923
875,George,M,27021,1923
876,Joseph,M,25561,1923
877,Edward,M,20597,1923
878,Richard,M,18884,1923
879,Donald,M,16435,1923
880,Mary,F,73534,1924
881,Dorothy,F,39999,1924
882,Helen,F,31192,1924
883,Betty,F,30599,1924
884,Margaret,F,26549,1924
885,Ruth,F,23600,1924
886,Virginia,F,18622,1924
887,Mildred,F,15853,1924
888,Doris,F,15785,1924
889,Frances,F,15183,1924
890,Robert,M,60801,1924
891,John,M,59055,1924
892,William,M,53511,1924
893,James,M,52939,1924
894,Charles,M,30461,1924
895,George,M,27375,1924
896,Joseph,M,25428,1924
897,Richard,M,21246,1924
898,Edward,M,21128,1924
899,Donald,M,17929,1924
900,Mary,F,70591,1925
901,Dorothy,F,38570,1925
902,Betty,F,32813,1925
903,Helen,F,29172,1925
904,Margaret,F,24463,1925
905,Ruth,F,22248,1925
906,Virginia,F,17489,1925
907,Doris,F,16074,1925
908,Mildred,F,14451,1925
909,Elizabeth,F,13935,1925
910,Robert,M,60897,1925
911,John,M,57199,1925
912,William,M,53304,1925
913,James,M,52682,1925
914,Charles,M,29582,1925
915,George,M,26566,1925
916,Joseph,M,24613,1925
917,Richard,M,23268,1925
918,Edward,M,20089,1925
919,Donald,M,19191,1925
920,Mary,F,67832,1926
921,Dorothy,F,36617,1926
922,Betty,F,32964,1926
923,Helen,F,26884,1926
924,Margaret,F,23070,1926
925,Ruth,F,20223,1926
926,Doris,F,16298,1926
927,Virginia,F,16162,1926
928,Mildred,F,13551,1926
929,Frances,F,13355,1926
930,Robert,M,61130,1926
931,John,M,56110,1926
932,James,M,53209,1926
933,William,M,51920,1926
934,Charles,M,29521,1926
935,George,M,25904,1926
936,Richard,M,25149,1926
937,Joseph,M,23759,1926
938,Donald,M,20912,1926
939,Edward,M,19378,1926
940,Mary,F,70639,1927
941,Dorothy,F,35987,1927
942,Betty,F,35422,1927
943,Helen,F,25320,1927
944,Margaret,F,21964,1927
945,Ruth,F,19414,1927
946,Doris,F,16510,1927
947,Virginia,F,15725,1927
948,Shirley,F,13315,1927
949,Barbara,F,13161,1927
950,Robert,M,61669,1927
951,John,M,55954,1927
952,James,M,53674,1927
953,William,M,51482,1927
954,Charles,M,31936,1927
955,Richard,M,26771,1927
956,George,M,25949,1927
957,Donald,M,23840,1927
958,Joseph,M,23506,1927
959,Edward,M,19113,1927
960,Mary,F,66872,1928
961,Betty,F,36080,1928
962,Dorothy,F,33731,1928
963,Helen,F,22934,1928
964,Margaret,F,20295,1928
965,Ruth,F,17858,1928
966,Doris,F,16572,1928
967,Barbara,F,14873,1928
968,Virginia,F,14501,1928
969,Shirley,F,14212,1928
970,Robert,M,60699,1928
971,John,M,53755,1928
972,James,M,52754,1928
973,William,M,49117,1928
974,Charles,M,31247,1928
975,Richard,M,28794,1928
976,Donald,M,25698,1928
977,George,M,24400,1928
978,Joseph,M,22311,1928
979,Edward,M,18489,1928
980,Mary,F,63508,1929
981,Betty,F,36675,1929
982,Dorothy,F,31477,1929
983,Helen,F,20985,1929
984,Margaret,F,19206,1929
985,Doris,F,16496,1929
986,Barbara,F,16037,1929
987,Ruth,F,16019,1929
988,Shirley,F,14579,1929
989,Patricia,F,13625,1929
990,Robert,M,59798,1929
991,James,M,52127,1929
992,John,M,52113,1929
993,William,M,47805,1929
994,Charles,M,29931,1929
995,Richard,M,29569,1929
996,Donald,M,27186,1929
997,George,M,23017,1929
998,Joseph,M,21162,1929
999,Edward,M,17226,1929
1000,Mary,F,64146,1930
1001,Betty,F,38234,1930
1002,Dorothy,F,30409,1930
1003,Helen,F,19914,1930
1004,Margaret,F,18354,1930
1005,Barbara,F,18281,1930
1006,Patricia,F,15751,1930
1007,Joan,F,15479,1930
1008,Doris,F,15464,1930
1009,Ruth,F,14940,1930
1010,Robert,M,62149,1930
1011,James,M,53941,1930
1012,John,M,52434,1930
1013,William,M,47265,1930
1014,Richard,M,32183,1930
1015,Charles,M,31871,1930
1016,Donald,M,29048,1930
1017,George,M,22784,1930
1018,Joseph,M,20981,1930
1019,Edward,M,17349,1930
1020,Mary,F,60296,1931
1021,Betty,F,36105,1931
1022,Dorothy,F,26524,1931
1023,Barbara,F,21797,1931
1024,Joan,F,19117,1931
1025,Helen,F,17661,1931
1026,Margaret,F,17333,1931
1027,Patricia,F,16468,1931
1028,Shirley,F,14405,1931
1029,Doris,F,13629,1931
1030,Robert,M,60508,1931
1031,James,M,51219,1931
1032,John,M,48423,1931
1033,William,M,43276,1931
1034,Richard,M,31816,1931
1035,Charles,M,29924,1931
1036,Donald,M,29102,1931
1037,George,M,20687,1931
1038,Joseph,M,19330,1931
1039,Thomas,M,16846,1931
1040,Mary,F,59874,1932
1041,Betty,F,34417,1932
1042,Barbara,F,26314,1932
1043,Dorothy,F,24974,1932
1044,Joan,F,21045,1932
1045,Patricia,F,17989,1932
1046,Margaret,F,16549,1932
1047,Helen,F,16376,1932
1048,Shirley,F,14476,1932
1049,Doris,F,12909,1932
1050,Robert,M,59266,1932
1051,James,M,51922,1932
1052,John,M,48617,1932
1053,William,M,42117,1932
1054,Richard,M,31798,1932
1055,Charles,M,31095,1932
1056,Donald,M,29786,1932
1057,George,M,20436,1932
1058,Joseph,M,18563,1932
1059,Thomas,M,16834,1932
1060,Mary,F,55509,1933
1061,Betty,F,31526,1933
1062,Barbara,F,26951,1933
1063,Dorothy,F,22047,1933
1064,Joan,F,19290,1933
1065,Patricia,F,18631,1933
1066,Margaret,F,15239,1933
1067,Helen,F,14643,1933
1068,Shirley,F,14315,1933
1069,Doris,F,12024,1933
1070,Robert,M,54218,1933
1071,James,M,51102,1933
1072,John,M,46222,1933
1073,William,M,39049,1933
1074,Richard,M,31337,1933
1075,Charles,M,28988,1933
1076,Donald,M,28437,1933
1077,George,M,18358,1933
1078,Joseph,M,17162,1933
1079,Thomas,M,16500,1933
1080,Mary,F,56929,1934
1081,Betty,F,31085,1934
1082,Barbara,F,29234,1934
1083,Shirley,F,22840,1934
1084,Dorothy,F,21283,1934
1085,Patricia,F,20845,1934
1086,Joan,F,19464,1934
1087,Margaret,F,15144,1934
1088,Helen,F,14100,1934
1089,Nancy,F,13518,1934
1090,Robert,M,55829,1934
1091,James,M,54249,1934
1092,John,M,46734,1934
1093,William,M,40170,1934
1094,Richard,M,33157,1934
1095,Donald,M,30409,1934
1096,Charles,M,29792,1934
1097,George,M,18497,1934
1098,Thomas,M,17369,1934
1099,Joseph,M,17101,1934
1100,Mary,F,55069,1935
1101,Shirley,F,42358,1935
1102,Barbara,F,30696,1935
1103,Betty,F,28673,1935
1104,Patricia,F,22877,1935
1105,Dorothy,F,19404,1935
1106,Joan,F,18223,1935
1107,Margaret,F,14725,1935
1108,Nancy,F,14544,1935
1109,Helen,F,12781,1935
1110,Robert,M,56524,1935
